# Outlets sharing a website with an entry already imported.
# host	outlet	state
100daysinappalachia.com	100 Days in Appalachia	Kentucky
100daysinappalachia.com	100 Days in Appalachia	Pennsylvania
100daysinappalachia.com	100 Days in Appalachia	Tennessee
100daysinappalachia.com	100 Days in Appalachia	West Virginia
afro.com	Afro-American (Baltimore)	Maryland
appeal-democrat.com	Appeal-Democrat	California
appeal-democrat.com	Glenn County Transcript	California
barnraisingmedia.com	Barn Raiser	Montana
barnraisingmedia.com	Barn Raiser	Wisconsin
baytobaynews.com	Crisfield-Somerset County Times	Maryland
baytobaynews.com	Dorchester Banner	Maryland
baytobaynews.com	Milford Chronicle	Delaware
baytobaynews.com	Salisbury Independent	Maryland
baytobaynews.com	Smyrna Extra	Delaware
baytobaynews.com	Sussex Post	Delaware
borderbelt.org	Border Belt Independent	North Carolina
brooklynpaper.com	Bay Ridge Courter	New York
buffalosfire.com	Buffalo’s Fire	North Dakota
buffalosfire.com	Buffalo’s Fire	South Dakota
caledonianrecord.com	Caledonian Record	Vermont
calistogatribune.com	Conéctate Napa County	California
capenews.net	Falmouth Enterprise	Massachusetts
caribbeanamericanweekly.com	Caribbean American Weekly	New York
centraljersey.com	Bordentown Register News	New Jersey
centraljersey.com	Cranbury Press	New Jersey
centraljersey.com	Hillsborough Beacon	New Jersey
centraljersey.com	Hopewell Valley News	New Jersey
centraljersey.com	Lawrence Ledger	New Jersey
centraljersey.com	Princeton Packet	New Jersey
centralmaine.com	Kennebec Journal	Maine
centralmaine.com	Morning Sentinel	Maine
chicagocrusader.com	The Gary Crusader	Indiana
coloradocommunitymedia.com	Brighton Standard Blade	Colorado
coloradocommunitymedia.com	Canyon Courier	Colorado
coloradocommunitymedia.com	Castle Pines News Press	Colorado
coloradocommunitymedia.com	Castle Rock News Press	Colorado
coloradocommunitymedia.com	Centennial Citizen	Colorado
coloradocommunitymedia.com	Clear Creek Courant	Colorado
coloradocommunitymedia.com	Commerce City Sentinel Express	Colorado
coloradocommunitymedia.com	Denver Herald Dispatch	Colorado
coloradocommunitymedia.com	Douglas County News Press	Colorado
coloradocommunitymedia.com	Elbert County News	Colorado
coloradocommunitymedia.com	Englewood Herald	Colorado
coloradocommunitymedia.com	Fort Lupton Press	Colorado
coloradocommunitymedia.com	Golden Transcript	Colorado
coloradocommunitymedia.com	Highlands Ranch Herald	Colorado
coloradocommunitymedia.com	Jeffco Transcript	Colorado
coloradocommunitymedia.com	Life on Capitol HIll	Colorado
coloradocommunitymedia.com	Littleton Independent	Colorado
coloradocommunitymedia.com	Lone Tree Voice	Colorado
coloradocommunitymedia.com	Northglenn/Thornton Sentinel	Colorado
coloradocommunitymedia.com	Parker Chronicle	Colorado
coloradocommunitymedia.com	Washington Park Profile	Colorado
coloradocommunitymedia.com	Westminster Window	Colorado
communityimpact.com	Community Impact Newspaper	Texas
communityimpact.com	Community Impact Newspaper	Texas
communityimpact.com	Community Impact Newspaper	Texas
conwaydailysun.com	The Conway Daily Sun	New Hampshire
dailybruin.com	Daily Bruin	California
dailygazette.com	Amsterdam Recorder	New York
dailygazette.com	Leader-Herald	New York
dailynorthwestern.com	Daily Northwestern	Illinois
dallasnews.com	The Dallas Morning News	Texas
delawarecurrents.org	Delaware Currents	New York
delawarecurrents.org	Delaware Currents	Pennsylvania
dotnews.com	Boston Irish	Massachusetts
dotnews.com	Dorchester Reporter	Massachusetts
eagletimes.com	The Eagle Times	Vermont
eagletribune.com	The Eagle-Tribune	New Hampshire
elsolnewsmedia.com	El Sol Latino Newspaper	Pennsylvania
ethiopique.com	Ethiopique	Maryland
ethiopique.com	Ethiopique	Virginia
gulfcoastmedia.com	Gulf Coast Media	Alabama
gulfcoastmedia.com	The Courier	Alabama
gulfcoastmedia.com	The Islander	Alabama
gulfcoastmedia.com	The Onlooker	Alabama
haitiantimes.com	The Haitian Times	New York
hastingstribune.com	Hastings Tribune	Nebraska
healthbeat.org	Healthbeat - New York	New York
hmongtimes.com	Hmong Times	Wisconsin
hummelreport.org	Hummel Report	Rhode Island
ictnews.org	Indian Country Today	Montana
indianz.com	Indianz.com	New Mexico
indianz.com	Indianz.com	Oklahoma
inforum.com	Inforum Bismark	North Dakota
insidenova.com	Inside NoVa	Virginia
investigatewest.org	Investigate West	Washington
invw.org	InvestigateWest	Oregon
invw.org	InvestigateWest	Washington
ivpressonline.com	Imperial Valley Press	California
kbindependent.org	Liberty City Independent	Florida
kchispanicnews.com	KC Hispanic News	Missouri
lakotatimes.com	Lakota Times	South Dakota
laprensanewspaper.com	La Prensa	Ohio
localnewsmatters.org	Local News Matters -- Stockton News	California
mendovoice.com	The Mendocino Voice	California
michigandaily.com	Michigan Daily	Michigan
midcoastvillager.com	Midcoast Villager	Maine
midcoastvillager.com	Rockland Villager	Maine
midfloridanewspapers.com	Clermont Sun	Florida
midfloridanewspapers.com	Highlands Sun	Florida
midfloridanewspapers.com	Polk Sun	Florida
midfloridanewspapers.com	Sumter Sun-Times	Florida
midfloridanewspapers.com	Winter Haven Sun	Florida
napavalleyregister.com	Napa Valley Register	California
napavalleyregister.com	St. Helena Star	California
nevadaappeal.com	Lahotan Valley Appeal	Nevada
newjerseyhills.com	Chatham Courier	New Jersey
newjerseyhills.com	Echoes-Sentinel	New Jersey
newjerseyhills.com	Florham Park Eagle	New Jersey
newjerseyhills.com	Hanover Eagle	New Jersey
newjerseyhills.com	Madison Eagle	New Jersey
newjerseyhills.com	Morris Newsbee	New Jersey
