state	name	kind	lat	lon
AL	Abanda CDP	place	33.0916	-85.5270
AL	Abbeville city	place	31.5647	-85.2591
AL	Adamsville city	place	33.6023	-86.9715
AL	Addison town	place	34.2027	-87.1780
AL	Akron town	place	32.8791	-87.7409
AL	Alabaster city	place	33.2144	-86.8231
AL	Albertville city	place	34.2631	-86.2107
AL	Alexander City city	place	32.9167	-85.9406
AL	Alexandria CDP	place	33.7608	-85.8720
AL	Aliceville city	place	33.1237	-88.1593
AL	Allgood town	place	33.9076	-86.5161
AL	Altoona town	place	34.0400	-86.3052
AL	Andalusia city	place	31.3094	-86.4780
AL	Anderson town	place	34.9157	-87.2743
AL	Anniston city	place	33.6735	-85.8109
AL	Arab city	place	34.3324	-86.5012
AL	Ardmore town	place	34.9878	-86.8290
AL	Argo city	place	33.6910	-86.5053
AL	Ariton town	place	31.5978	-85.7131
AL	Arley town	place	34.0762	-87.2178
AL	Ashford city	place	31.1853	-85.2362
AL	Ashland town	place	33.2699	-85.8337
AL	Ashville city	place	33.8352	-86.2700
AL	Athens city	place	34.7790	-86.9508
AL	Atmore city	place	31.1241	-87.4578
AL	Attalla city	place	33.9862	-86.1210
AL	Auburn city	place	32.6078	-85.4947
AL	Autaugaville town	place	32.4326	-86.6588
AL	Avon town	place	31.1797	-85.2792
AL	Axis CDP	place	30.9222	-88.0226
AL	Babbie town	place	31.3021	-86.3194
AL	Baileyton town	place	34.2609	-86.6088
AL	Bakerhill town	place	31.7769	-85.2954
AL	Ballplay CDP	place	34.0230	-85.8015
AL	Banks town	place	31.8133	-85.8364
AL	Bay Minette city	place	30.8944	-87.7913
AL	Bayou La Batre city	place	30.4076	-88.2633
AL	Bear Creek town	place	34.2555	-87.7134
AL	Beatrice town	place	31.7333	-87.2090
AL	Beaverton town	place	33.9354	-88.0218
AL	Belgreen CDP	place	34.4745	-87.8617
AL	Belk town	place	33.6516	-87.9286
AL	Bellamy CDP	place	32.4637	-88.1315
AL	Belle Fontaine CDP	place	30.4895	-88.1059
AL	Benton town	place	32.3079	-86.8175
AL	Berlin town	place	34.1850	-86.7490
AL	Berry town	place	33.6667	-87.6093
AL	Bessemer city	place	33.3709	-86.9715
AL	Billingsley town	place	32.6647	-86.7067
AL	Birmingham city	place	33.5272	-86.7970
AL	Black town	place	31.0098	-85.7444
AL	Blountsville town	place	34.0758	-86.5839
AL	Blue Ridge CDP	place	32.4989	-86.1824
AL	Blue Springs town	place	31.6635	-85.5035
AL	Boaz city	place	34.1990	-86.1552
AL	Boligee town	place	32.7681	-88.0286
AL	Bon Air town	place	33.2594	-86.3272
AL	Bon Secour CDP	place	30.3182	-87.7244
AL	Boykin CDP	place	32.0684	-87.2943
AL	Brantley town	place	31.5820	-86.2568
AL	Brantleyville CDP	place	33.2193	-86.8825
AL	Brent city	place	32.9449	-87.1721
AL	Brewton city	place	31.1092	-87.0766
AL	Bridgeport city	place	34.9493	-85.7238
AL	Brighton city	place	33.4396	-86.9454
AL	Brilliant town	place	34.0257	-87.7690
AL	Bristow Cove CDP	place	34.1092	-86.2410
AL	Brook Highland CDP	place	33.4380	-86.6853
AL	Brookside town	place	33.6346	-86.9063
AL	Brookwood town	place	33.2398	-87.3315
AL	Broomtown CDP	place	34.3657	-85.5321
AL	Brundidge city	place	31.7176	-85.8175
AL	Bucks CDP	place	31.0169	-88.0264
AL	Butler town	place	32.0965	-88.2108
AL	Calera city	place	33.1223	-86.7456
AL	Calvert CDP	place	31.1499	-88.0215
AL	Camden city	place	31.9985	-87.2889
AL	Camp Hill town	place	32.7973	-85.6558
AL	Carbon Hill city	place	33.8950	-87.5221
AL	Cardiff town	place	33.6473	-86.9306
AL	Carlisle-Rockledge CDP	place	34.1145	-86.1241
AL	Carlton CDP	place	31.3486	-87.8357
AL	Carolina town	place	31.2341	-86.5210
AL	Carrollton town	place	33.2619	-88.0951
AL	Castleberry town	place	31.2997	-87.0291
AL	Catherine CDP	place	32.1862	-87.4700
AL	Cedar Bluff town	place	34.2214	-85.5886
AL	Center Point city	place	33.6439	-86.6846
